,HCP_Name,Count of Publications,Count of Clinical Trials,Count of NPIs,Name(PubMed),Name(ClinicalTrials)
0,A DOBSON,1,0,0,A J DOBSON,
1,A FLOQUET,1,0,0,A FLOQUET,
2,A GOMPEL,1,0,0,A GOMPEL,
3,A HAMIZAN,1,0,0,A W HAMIZAN,
4,A NAP,1,0,0,A NAP,
5,A SERRAL,1,0,0,A SERRAL,
6,A VAN ROSSUM,1,0,0,A C VAN ROSSUM,
7,A ZANNETTI,1,0,0,A ZANNETTI,
8,A ZOLOTOV,1,0,0,A N ZOLOTOV,
9,A-C SPETZ HOLM,1,0,0,A-C SPETZ HOLM,
10,AANUOLUWAPO OLAJUBU,1,0,0,AANUOLUWAPO OMOBOLANLE OLAJUBU,
11,AARON BABENDREYER,1,0,0,AARON BABENDREYER,
12,AARON BARAFF,1,0,0,AARON J BARAFF,
13,AARON FLEISCHER,1,0,0,AARON W FLEISCHER,
14,AARTJAN BEEKMAN,1,0,0,AARTJAN T F BEEKMAN,
15,ABBY MISKE,2,0,1,ABBY MISKE,
16,ABDULLAH RAMADAN,1,0,0,ABDULLAH RAMADAN,
17,ABEL SUÁREZ-CASTRO,1,0,0,ABEL SUÁREZ-CASTRO,
18,ABIOLA KOMOLAFE,1,0,0,ABIOLA OLUBUSOLA KOMOLAFE,
19,ADAM FIGIEL,1,0,0,ADAM FIGIEL,
20,ADAM STȨPIEŃ,1,0,0,ADAM STȨPIEŃ,
21,ADAM WHALEY-CONNELL,1,0,1,ADAM WHALEY-CONNELL,
22,ADDISON BRENIZER,1,0,0,ADDISON BRENIZER,
23,ADEKEMI OLOWOKERE,1,0,0,ADEKEMI EUNICE OLOWOKERE,
24,ADELEH SAHEBNASAGH,1,0,0,ADELEH SAHEBNASAGH,
25,ADISH EZATAGHA,1,0,0,ADISH EZATAGHA,
26,ADITI KAUNDINYA,1,0,0,ADITI KAUNDINYA,
27,ADRIAN STURZA,2,0,0,ADRIAN STURZA,
28,ADRIANA DOMÍNGUEZ,1,0,0,ADRIANA DOMÍNGUEZ,
29,ADRIANA FALLACARA,1,0,0,ADRIANA FALLACARA,
30,ADRIANA OLMOS-HERNÁNDEZ,1,0,0,ADRIANA OLMOS-HERNÁNDEZ,
31,ADRIANA PEDRO,1,0,0,ADRIANA ORCESI PEDRO,
32,ADRIANNA NOWICKA-CZUDAK,1,0,0,ADRIANNA NOWICKA-CZUDAK,
33,ADRIANO MOLLICA,1,0,0,ADRIANO MOLLICA,
34,AGELIKI LAINA,1,0,0,AGELIKI LAINA,
35,AGNIESZKA GORSKA,1,0,1,AGNIESZKA E GORSKA,
36,AGNIESZKA NAWIRSKA-OLSZAŃSKA,1,0,0,AGNIESZKA NAWIRSKA-OLSZAŃSKA,
37,AGNÈS FOURNIER,1,0,0,AGNÈS FOURNIER,
38,AHMAD ALGHADIR,1,0,0,AHMAD H ALGHADIR,
39,AHMED ALRUWAILI,1,0,0,AHMED ABDULRAHMAN ALRUWAILI,
40,AHMED SOLIMAN,1,0,9,AHMED M SOLIMAN,
41,AIDIN ROBERTS,1,0,0,AIDIN ROBERTS,
42,AINHOA PASCUAL-ALONSO,1,0,0,AINHOA PASCUAL-ALONSO,
43,AJAY SINHAL,1,0,0,AJAY SINHAL,
44,AKANKSHA GARG,1,0,0,AKANKSHA GARG,
45,AKHILA REDDY,1,0,3,AKHILA REDDY,
46,AKHMADU MURADI,1,0,0,AKHMADU MURADI,
47,AKIRA SUDA,2,0,0,AKIRA SUDA,
48,AKIRA TANNER,1,0,0,AKIRA TANNER,
49,AKITOSHI YOSHIDA,1,0,0,AKITOSHI YOSHIDA,
50,AKIYOSHI OHTAKE,1,0,0,AKIYOSHI OHTAKE,
51,AKOS KOLLER,1,0,0,AKOS KOLLER,
52,AKSHAY VARGHESE,1,0,0,AKSHAY VARGHESE,
53,ALAA ALDURAIBI,1,0,0,ALAA KHALID ALDURAIBI,
54,ALANNA DE MELLO,1,0,0,ALANNA DE MELLO,
55,ALBA TRISTÁN-NOGUERO,1,0,0,ALBA TRISTÁN-NOGUERO,
56,ALBA-AINA CASTELLS,1,0,0,ALBA-AINA CASTELLS,
57,ALBERTO GOZZA,1,0,0,ALBERTO GOZZA,
58,ALBINO CARRIZZO,1,0,0,ALBINO CARRIZZO,
59,ALEJANDRO CASAS,1,0,0,ALEJANDRO CASAS,
60,ALEKSANDER DȨBIEC,1,0,0,ALEKSANDER DȨBIEC,
61,ALESCIA AZZOLA,1,0,0,ALESCIA AZZOLA,
62,ALESSANDRA LUGARESI,1,0,0,ALESSANDRA LUGARESI,
63,ALESSIO CRIPPA,1,0,0,ALESSIO CRIPPA,
64,ALETA WILEY,1,0,0,ALETA WILEY,
65,ALEX BRYSON,1,0,0,ALEX BRYSON,
